Gender,Age,Annual Income,Income Type,Employment Duration,Education Level,Marital Status,Occupation,Number of Children,Housing Type,Credit History,Loan Amount,Existing Loan Balance,Number of Credit Inquiries,Monthly Income,Employment Status,Approved
Female,33.8,61175.44,Pensioner,0.0,Secondary / secondary special,Single / not married,Security staff,1,House / apartment,Good,46941.66,0.0,0,5097.95,Retired,1
Female,73.4,78887.25,Working,0.0,Secondary / secondary special,Widow,Secretaries,2,House / apartment,Good,8222.55,699.95,2,6573.94,Retired,1
Male,36.9,29419.67,Commercial associate,18.0,Secondary / secondary special,Married,Waiters/barmen staff,1,House / apartment,Good,11415.75,3013.93,0,2451.64,Employed,1
Male,45.5,62114.58,Pensioner,0.0,Secondary / secondary special,Single / not married,Security staff,1,House / apartment,Good,118141.48,18378.54,1,5176.21,Retired,1
Female,29.2,42880.8,Working,7.2,Higher education,Married,Managers,1,House / apartment,Bad,27218.01,0.0,0,3573.4,Employed,0
Male,52.8,74860.78,Commercial associate,10.4,Higher education,Married,Accountants,1,House / apartment,Good,186127.79,142695.63,1,6238.4,Employed,0
Female,34.0,16922.28,Working,2.0,Secondary / secondary special,Married,Medicine staff,0,House / apartment,Bad,8508.45,497.69,0,1410.19,Employed,0
Female,29.8,46651.15,State servant,9.9,Secondary / secondary special,Single / not married,Medicine staff,0,Rented apartment,Good,92978.17,77998.7,0,3887.6,Employed,1
Female,47.4,36264.32,Working,10.7,Secondary / secondary special,Married,Secretaries,0,House / apartment,Good,64989.54,0.0,0,3022.03,Employed,1
Male,18.3,60847.83,Working,0.2,Secondary / secondary special,Married,HR staff,0,House / apartment,Good,53127.29,45681.94,2,5070.65,Employed,1
Female,18.4,62008.21,Working,0.2,Secondary / secondary special,Widow,Security staff,1,House / apartment,Good,55421.32,45798.38,1,5167.35,Employed,1
Female,30.5,34412.91,Commercial associate,2.5,Secondary / secondary special,Married,Private service staff,0,House / apartment,Good,49985.57,20126.93,0,2867.74,Employed,1
Female,20.1,34334.74,Working,1.3,Higher education,Married,HR staff,0,House / apartment,Good,73671.99,79135.16,0,2861.23,Employed,1
Female,24.2,46382.03,Working,0.4,Secondary / secondary special,Married,Managers,0,House / apartment,Bad,47627.32,23071.9,0,3865.17,Employed,0
Female,37.3,31309.56,Working,8.0,Lower secondary,Married,Drivers,1,House / apartment,Good,7728.19,6983.19,0,2609.13,Employed,1
Female,63.7,74681.81,Pensioner,0.0,Incomplete higher,Single / not married,Medicine staff,0,House / apartment,Good,74577.71,1771.85,1,6223.48,Retired,1
Male,50.6,40757.55,Working,17.8,Secondary / secondary special,Separated,Laborers,0,House / apartment,Good,24354.69,13167.73,0,3396.46,Employed,1
Female,47.2,15000.0,Working,12.7,Secondary / secondary special,Married,High skill tech staff,0,House / apartment,Bad,35311.45,23799.78,0,1250.0,Employed,0
Female,34.7,40643.29,Commercial associate,12.5,Secondary / secondary special,Single / not married,Secretaries,0,House / apartment,Good,72079.18,71906.16,1,3386.94,Employed,1
Male,71.1,29165.1,Working,0.0,Secondary / secondary special,Married,Managers,2,House / apartment,Good,6474.61,4381.29,0,2430.43,Retired,1
Female,40.6,21684.7,Pensioner,0.0,Higher education,Married,Cleaning staff,0,House / apartment,Good,17416.55,2881.64,0,1807.06,Retired,1
Female,23.0,26404.42,Working,4.1,Higher education,Married,Drivers,1,House / apartment,Good,5822.66,3226.98,1,2200.37,Employed,1
Female,53.2,51777.15,Commercial associate,27.1,Secondary / secondary special,Married,Realty agents,1,With parents,Bad,108319.87,97627.38,0,4314.76,Employed,0
Male,24.5,95255.73,Working,0.3,Lower secondary,Married,Secretaries,3,House / apartment,Good,216717.39,0.0,3,7937.98,Employed,0
Male,37.7,57330.74,Working,3.8,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,21182.05,20259.17,2,4777.56,Employed,1
Female,46.9,36197.61,Commercial associate,15.5,Higher education,Married,Low-skill Laborers,0,House / apartment,Good,41869.63,1104.49,0,3016.47,Employed,1
Female,67.8,61571.36,Working,0.0,Higher education,Married,Drivers,0,House / apartment,Good,143862.71,9368.63,0,5130.95,Retired,1
Male,46.1,38966.39,Commercial associate,26.3,Secondary / secondary special,Married,Laborers,0,House / apartment,Good,17476.74,15067.36,0,3247.2,Employed,1
Female,58.0,34637.76,Working,33.4,Secondary / secondary special,Married,Realty agents,1,House / apartment,Good,27729.91,0.0,0,2886.48,Employed,1
Female,74.6,27524.14,Working,0.0,Secondary / secondary special,Separated,Waiters/barmen staff,0,House / apartment,Good,22852.17,12327.36,4,2293.68,Retired,1
Female,25.5,20416.23,Working,6.3,Secondary / secondary special,Married,Drivers,0,Rented apartment,Good,5000.0,3201.53,0,1701.35,Employed,1
Female,33.7,40337.55,State servant,4.7,Higher education,Married,High skill tech staff,2,House / apartment,Good,7545.37,3006.0,3,3361.46,Employed,1
Male,40.5,53051.94,Working,9.7,Secondary / secondary special,Separated,HR staff,1,Municipal apartment,Good,126619.22,68810.69,1,4421.0,Employed,0
Male,42.0,46708.81,Working,11.3,Secondary / secondary special,Single / not married,Private service staff,0,House / apartment,Good,68691.02,3286.75,3,3892.4,Employed,1
Male,41.4,39815.7,Working,3.7,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,33284.17,33934.96,2,3317.97,Employed,1
Female,69.7,30550.21,Working,0.0,Secondary / secondary special,Married,Core staff,0,House / apartment,Bad,30819.64,8170.16,2,2545.85,Retired,0
Male,58.7,66444.55,Working,1.2,Higher education,Single / not married,Low-skill Laborers,3,House / apartment,Good,120638.26,28458.04,1,5537.05,Employed,1
Male,52.7,25372.83,Pensioner,0.0,Higher education,Married,IT staff,2,House / apartment,Good,24856.27,17840.37,2,2114.4,Retired,1
Male,35.6,72259.13,Working,16.7,Higher education,Single / not married,IT staff,2,House / apartment,Good,46724.56,40022.87,0,6021.59,Employed,1
Female,65.0,29699.68,Pensioner,0.0,Higher education,Single / not married,HR staff,2,House / apartment,Bad,10228.85,11652.64,3,2474.97,Retired,0
Female,72.4,33650.47,Working,0.0,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,62234.5,0.0,1,2804.21,Retired,1
Male,64.8,23543.56,Commercial associate,9.6,Secondary / secondary special,Widow,Medicine staff,0,House / apartment,Good,12557.1,13117.78,0,1961.96,Employed,1
Male,18.1,38150.68,Pensioner,0.0,Secondary / secondary special,Married,Sales staff,0,House / apartment,Good,10192.18,10237.87,6,3179.22,Retired,0
Female,54.3,79830.13,Working,8.7,Secondary / secondary special,Married,IT staff,1,House / apartment,Good,89784.2,85450.97,3,6652.51,Employed,1
Male,20.9,63437.73,State servant,0.2,Secondary / secondary special,Single / not married,Realty agents,2,House / apartment,Good,12368.47,0.0,2,5286.48,Employed,1
Male,32.7,79954.34,Working,13.6,Higher education,Married,High skill tech staff,0,House / apartment,Good,193169.32,6009.7,0,6662.86,Employed,1
Male,21.4,63644.7,State servant,2.0,Secondary / secondary special,Single / not married,Medicine staff,0,With parents,Good,102181.76,116615.09,5,5303.72,Employed,0
Male,52.4,28230.69,Commercial associate,23.0,Secondary / secondary special,Separated,Low-skill Laborers,2,House / apartment,Bad,13168.84,8101.52,2,2352.56,Employed,0
Male,57.1,41548.03,Working,35.7,Secondary / secondary special,Single / not married,Medicine staff,0,Municipal apartment,Good,21351.11,8361.81,1,3462.34,Employed,1
Female,24.5,33186.57,Working,2.3,Incomplete higher,Married,High skill tech staff,2,House / apartment,Good,48704.22,42020.42,4,2765.55,Employed,0
Male,39.9,95347.89,Working,13.6,Secondary / secondary special,Married,Secretaries,0,House / apartment,Good,91129.49,0.0,0,7945.66,Employed,1
Female,44.0,26946.42,Working,1.0,Incomplete higher,Married,Cooking staff,0,House / apartment,Good,52767.56,0.0,0,2245.53,Employed,1
Male,39.0,76638.04,Working,3.9,Secondary / secondary special,Married,IT staff,0,House / apartment,Bad,108054.7,55987.35,1,6386.5,Employed,0
Female,24.9,76609.54,Working,5.7,Higher education,Married,Laborers,1,House / apartment,Good,87334.98,32691.81,0,6384.13,Employed,1
Female,41.9,122370.68,Working,18.3,Secondary / secondary special,Single / not married,Accountants,1,With parents,Good,295054.39,0.0,1,10197.56,Employed,1
Male,60.8,39940.92,Commercial associate,14.0,Higher education,Single / not married,Low-skill Laborers,0,House / apartment,Good,41448.68,34032.98,0,3328.41,Employed,1
Female,22.0,69993.74,Working,1.5,Secondary / secondary special,Married,Sales staff,2,Rented apartment,Good,74295.99,60922.65,0,5832.81,Employed,1
Male,22.6,153403.34,Working,2.4,Higher education,Married,Secretaries,1,House / apartment,Good,260456.44,216480.81,0,12783.61,Employed,1
Female,38.2,35996.58,Commercial associate,0.0,Secondary / secondary special,Single / not married,Drivers,1,House / apartment,Bad,73531.96,0.0,1,2999.71,Employed,0
Male,71.7,22753.63,Working,0.0,Higher education,Married,Cleaning staff,0,House / apartment,Good,36472.15,9226.74,0,1896.14,Retired,1
Male,56.1,19148.79,Working,9.2,Incomplete higher,Married,Realty agents,2,House / apartment,Good,34020.98,0.0,0,1595.73,Employed,1
Male,56.7,70007.38,Working,8.1,Incomplete higher,Single / not married,Sales staff,0,House / apartment,Bad,69659.85,0.0,0,5833.95,Employed,0
Female,38.6,19118.75,State servant,5.2,Secondary / secondary special,Single / not married,High skill tech staff,0,Co-op apartment,Good,23913.59,0.0,2,1593.23,Employed,1
Female,51.8,40694.18,Pensioner,0.0,Secondary / secondary special,Married,Sales staff,0,House / apartment,Good,23313.06,8016.31,3,3391.18,Retired,1
Female,18.6,61001.67,Working,0.5,Secondary / secondary special,Civil marriage,Drivers,0,Rented apartment,Good,105690.99,0.0,0,5083.47,Employed,1
Male,54.3,53776.28,Commercial associate,10.1,Secondary / secondary special,Married,Security staff,2,House / apartment,Good,33958.9,17079.27,1,4481.36,Employed,1
Female,70.1,60640.75,Working,0.0,Secondary / secondary special,Widow,Low-skill Laborers,0,House / apartment,Bad,6246.99,3325.32,0,5053.4,Retired,0
Male,52.9,54783.53,Commercial associate,6.7,Secondary / secondary special,Married,High skill tech staff,0,House / apartment,Good,128249.84,50258.36,0,4565.29,Employed,1
Female,67.8,92914.31,Commercial associate,0.0,Secondary / secondary special,Married,Cleaning staff,2,House / apartment,Good,77531.1,0.0,4,7742.86,Retired,1
Male,59.3,30450.02,Commercial associate,20.2,Incomplete higher,Civil marriage,Waiters/barmen staff,1,House / apartment,Good,17414.88,3379.34,0,2537.5,Employed,1
Male,24.9,34944.01,Working,5.9,Secondary / secondary special,Married,High skill tech staff,1,Municipal apartment,Good,25982.7,0.0,0,2912.0,Employed,1
Male,69.4,33311.91,Working,0.0,Secondary / secondary special,Single / not married,High skill tech staff,0,With parents,Good,29750.02,12268.62,0,2775.99,Retired,1
Male,21.8,74242.79,Working,0.9,Secondary / secondary special,Single / not married,IT staff,1,House / apartment,Good,91980.24,89023.62,5,6186.9,Employed,1
Female,48.4,76895.24,Pensioner,0.0,Secondary / secondary special,Civil marriage,Cleaning staff,0,House / apartment,Good,20488.28,19436.5,1,6407.94,Retired,1
Male,26.1,61427.49,Working,0.6,Secondary / secondary special,Widow,Secretaries,3,House / apartment,Good,13908.14,0.0,1,5118.96,Employed,1
Female,18.7,88587.57,Pensioner,0.0,Higher education,Married,Security staff,1,House / apartment,Good,71134.56,31001.28,1,7382.3,Retired,1
Male,42.1,27200.2,Student,8.6,Secondary / secondary special,Single / not married,IT staff,1,House / apartment,Good,22027.77,0.0,0,2266.68,Employed,1
Female,34.8,112827.12,Working,12.6,Lower secondary,Married,Accountants,0,House / apartment,Good,43139.56,37546.21,2,9402.26,Employed,1
Male,45.7,104989.89,Commercial associate,15.3,Secondary / secondary special,Married,Accountants,0,House / apartment,Good,112496.65,0.0,0,8749.16,Employed,1
Male,50.9,70813.93,Commercial associate,26.9,Secondary / secondary special,Civil marriage,Laborers,0,House / apartment,Good,55353.04,56996.67,1,5901.16,Employed,1
Female,20.5,119479.42,State servant,2.4,Higher education,Married,Medicine staff,0,House / apartment,Good,19419.39,0.0,1,9956.62,Employed,1
Male,25.0,21411.61,State servant,5.6,Secondary / secondary special,Married,Drivers,0,House / apartment,Good,47656.45,22869.87,0,1784.3,Employed,1
Male,49.8,37713.6,Commercial associate,19.2,Secondary / secondary special,Married,Medicine staff,1,House / apartment,Good,83967.27,28295.03,0,3142.8,Employed,1
Female,37.6,33939.96,Working,9.7,Secondary / secondary special,Married,IT staff,0,House / apartment,Good,20433.12,8851.61,1,2828.33,Employed,1
Female,59.6,70314.95,Commercial associate,1.6,Higher education,Widow,Private service staff,1,House / apartment,Good,34517.14,39884.09,0,5859.58,Employed,1
Male,55.2,28996.48,Working,36.6,Incomplete higher,Married,Secretaries,0,Rented apartment,Bad,40986.6,8023.29,0,2416.37,Employed,0
Male,66.2,71592.64,Commercial associate,0.0,Secondary / secondary special,Married,Managers,0,House / apartment,Good,115536.81,0.0,0,5966.05,Retired,1
Female,57.5,97272.16,Pensioner,0.0,Higher education,Civil marriage,Private service staff,1,House / apartment,Bad,233268.57,204030.79,2,8106.01,Retired,0
Male,42.5,69397.18,Working,9.4,Secondary / secondary special,Married,Low-skill Laborers,1,House / apartment,Good,69788.32,65608.47,3,5783.1,Employed,1
Male,56.4,56493.2,Commercial associate,5.8,Secondary / secondary special,Married,Waiters/barmen staff,0,House / apartment,Bad,89467.19,2829.27,2,4707.77,Employed,0
Male,33.7,29913.45,Working,10.5,Secondary / secondary special,Married,Drivers,0,House / apartment,Good,66037.95,14037.95,1,2492.79,Employed,1
Female,35.5,32098.82,Working,5.0,Higher education,Married,HR staff,1,House / apartment,Good,37873.05,0.0,1,2674.9,Employed,1
Female,63.0,91565.46,Working,23.4,Higher education,Married,Accountants,0,House / apartment,Bad,36042.9,24491.19,0,7630.46,Employed,0
Male,43.4,72379.22,Commercial associate,14.9,Secondary / secondary special,Civil marriage,Secretaries,0,Rented apartment,Good,72804.34,0.0,0,6031.6,Employed,1
Male,63.5,48073.69,State servant,17.8,Higher education,Married,Low-skill Laborers,1,House / apartment,Good,20564.03,2110.9,2,4006.14,Employed,1
Male,64.9,39777.04,State servant,33.4,Higher education,Separated,HR staff,0,With parents,Good,5566.19,1886.45,2,3314.75,Employed,1
Female,66.9,17802.53,Working,0.0,Secondary / secondary special,Single / not married,Private service staff,0,With parents,Good,33891.17,14551.35,2,1483.54,Retired,1
Male,70.2,28697.74,Pensioner,0.0,Secondary / secondary special,Single / not married,Accountants,2,House / apartment,Good,19291.11,1470.52,1,2391.48,Retired,1
Male,42.6,127479.33,Commercial associate,6.5,Secondary / secondary special,Married,HR staff,1,House / apartment,Good,13361.99,0.0,3,10623.28,Employed,1
Female,36.2,25842.41,Working,8.2,Secondary / secondary special,Married,Low-skill Laborers,0,House / apartment,Good,56694.05,50090.06,4,2153.53,Employed,0
Male,51.2,53892.14,Working,17.8,Secondary / secondary special,Married,Sales staff,0,House / apartment,Good,62789.37,0.0,0,4491.01,Employed,1
Female,39.2,81123.02,Working,14.0,Secondary / secondary special,Separated,Secretaries,0,With parents,Bad,54617.18,53581.49,0,6760.25,Employed,0
Male,52.3,26174.44,Pensioner,0.0,Higher education,Married,Sales staff,2,House / apartment,Good,19125.56,3070.14,1,2181.2,Retired,1
Male,58.2,53763.78,Commercial associate,31.4,Higher education,Married,Accountants,1,House / apartment,Good,36413.72,26245.35,0,4480.31,Employed,1
Male,57.2,78351.29,Commercial associate,15.5,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,44420.07,0.0,3,6529.27,Employed,1
Female,39.3,49328.12,Working,13.8,Secondary / secondary special,Married,Waiters/barmen staff,0,Office apartment,Bad,104523.48,76189.57,0,4110.68,Employed,0
Female,27.5,205705.65,Commercial associate,1.4,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,104662.19,51311.53,1,17142.14,Employed,1
Female,42.5,21283.78,Working,22.9,Secondary / secondary special,Married,Waiters/barmen staff,0,With parents,Bad,30828.51,0.0,1,1773.65,Employed,0
Male,26.1,83230.09,Working,3.1,Secondary / secondary special,Married,High skill tech staff,1,House / apartment,Good,23767.9,8150.08,1,6935.84,Employed,1
Female,68.7,44963.18,Commercial associate,0.0,Higher education,Married,Medicine staff,0,House / apartment,Good,106960.71,0.0,0,3746.93,Retired,1
Male,37.7,72110.87,Working,14.4,Higher education,Married,Accountants,0,House / apartment,Good,111624.26,122681.79,7,6009.24,Employed,0
Male,26.8,61123.62,Pensioner,0.0,Secondary / secondary special,Single / not married,Realty agents,0,House / apartment,Good,138601.83,30319.3,0,5093.63,Retired,1
Female,19.5,33976.42,Working,0.0,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,35841.95,9886.73,2,2831.37,Employed,1
Male,54.8,54967.54,Commercial associate,7.6,Secondary / secondary special,Married,Secretaries,0,House / apartment,Good,112442.32,0.0,2,4580.63,Employed,1
Male,54.3,19361.64,Working,17.7,Higher education,Married,Core staff,1,House / apartment,Good,41603.73,45483.71,0,1613.47,Employed,1
Male,37.4,66278.69,Working,17.1,Secondary / secondary special,Married,Medicine staff,1,House / apartment,Good,118445.21,0.0,4,5523.22,Employed,1
Male,22.1,56901.63,Working,2.2,Incomplete higher,Separated,Cleaning staff,3,House / apartment,Good,18383.43,0.0,1,4741.8,Employed,1
Male,41.3,67462.7,Working,21.7,Secondary / secondary special,Married,Realty agents,2,House / apartment,Good,9349.8,0.0,1,5621.89,Employed,1
Female,35.7,83204.7,Pensioner,0.0,Secondary / secondary special,Single / not married,Low-skill Laborers,1,House / apartment,Good,41980.37,44174.68,1,6933.73,Retired,1
Male,56.6,58912.58,Working,18.7,Lower secondary,Civil marriage,Security staff,1,House / apartment,Good,22588.98,0.0,1,4909.38,Employed,1
Female,52.5,52788.29,Pensioner,0.0,Secondary / secondary special,Single / not married,Security staff,3,House / apartment,Good,97147.9,31679.9,0,4399.02,Retired,1
Female,38.8,31554.32,Student,10.2,Secondary / secondary special,Married,IT staff,0,With parents,Bad,45337.77,0.0,2,2629.53,Employed,0
Male,30.4,34333.94,Working,1.5,Higher education,Married,Accountants,0,House / apartment,Good,46772.51,45647.21,1,2861.16,Employed,1
Male,74.3,88731.24,Working,0.0,Secondary / secondary special,Single / not married,Security staff,0,House / apartment,Good,62722.47,0.0,0,7394.27,Retired,1
Male,43.9,100525.6,Commercial associate,20.8,Higher education,Married,Laborers,1,Municipal apartment,Good,47353.4,0.0,2,8377.13,Employed,1
Female,57.2,43518.65,State servant,9.7,Lower secondary,Single / not married,Core staff,1,With parents,Good,25924.72,0.0,2,3626.55,Employed,1
Male,26.0,50161.41,Pensioner,0.0,Secondary / secondary special,Single / not married,Managers,0,House / apartment,Good,53204.45,15737.59,1,4180.12,Retired,1
Female,45.7,31185.01,Working,24.9,Secondary / secondary special,Single / not married,Waiters/barmen staff,0,House / apartment,Good,58513.8,27022.96,0,2598.75,Employed,1
Male,19.6,88113.27,Commercial associate,1.4,Secondary / secondary special,Married,Managers,0,House / apartment,Good,62634.43,0.0,0,7342.77,Employed,1
Female,46.8,68371.3,Working,27.2,Secondary / secondary special,Single / not married,Core staff,0,House / apartment,Bad,121473.32,21918.24,0,5697.61,Employed,0
Male,72.9,129392.89,State servant,0.0,Secondary / secondary special,Single / not married,Medicine staff,0,House / apartment,Good,165574.81,111553.66,1,10782.74,Retired,1
Male,39.9,31597.66,State servant,11.4,Incomplete higher,Civil marriage,Realty agents,0,House / apartment,Good,70306.64,401.51,3,2633.14,Employed,1
Female,20.2,40578.6,Working,1.5,Lower secondary,Married,Waiters/barmen staff,0,House / apartment,Good,26741.09,1653.1,0,3381.55,Employed,1
Female,19.8,55034.91,Working,1.4,Secondary / secondary special,Married,Cooking staff,2,With parents,Good,65054.35,54859.51,0,4586.24,Employed,1
Male,40.1,67727.31,Working,2.9,Incomplete higher,Married,IT staff,2,House / apartment,Good,22485.16,8630.27,2,5643.94,Employed,1
Female,27.1,44009.74,Working,5.5,Secondary / secondary special,Married,Medicine staff,2,House / apartment,Good,39800.98,43120.7,0,3667.48,Employed,1
Female,19.3,31682.49,Pensioner,0.0,Secondary / secondary special,Married,Waiters/barmen staff,1,Rented apartment,Bad,41710.41,40479.47,0,2640.21,Retired,0
Female,61.1,76168.54,Working,1.4,Secondary / secondary special,Separated,Medicine staff,1,House / apartment,Good,141565.06,97300.7,1,6347.38,Employed,0
Female,44.1,70302.85,Working,13.0,Higher education,Married,Drivers,1,House / apartment,Bad,40451.21,0.0,2,5858.57,Employed,0
Male,34.5,31003.73,Working,2.6,Higher education,Civil marriage,HR staff,1,House / apartment,Good,19328.38,0.0,2,2583.64,Employed,1
Male,69.3,96540.84,State servant,0.0,Higher education,Married,Medicine staff,1,House / apartment,Good,155989.42,75093.02,2,8045.07,Retired,1
Male,24.6,88000.64,Commercial associate,1.2,Secondary / secondary special,Married,Cooking staff,0,House / apartment,Bad,89575.73,24838.74,0,7333.39,Employed,0
Female,72.5,52425.49,Working,0.0,Secondary / secondary special,Married,Medicine staff,0,House / apartment,Good,65900.3,19203.05,3,4368.79,Retired,1
Female,35.9,51011.12,Working,6.5,Secondary / secondary special,Married,Security staff,1,House / apartment,Good,107466.34,61735.53,0,4250.93,Employed,1
Male,68.6,64668.46,State servant,0.0,Lower secondary,Civil marriage,Realty agents,0,With parents,Bad,83926.72,0.0,0,5389.04,Retired,0
Male,52.4,31861.33,Pensioner,0.0,Secondary / secondary special,Married,Sales staff,0,House / apartment,Good,53080.94,33493.29,0,2655.11,Retired,1
Female,65.1,49762.44,Working,0.0,Secondary / secondary special,Married,IT staff,0,House / apartment,Good,83414.79,26279.23,0,4146.87,Retired,1
Female,74.1,16710.76,Working,0.0,Higher education,Married,Secretaries,0,House / apartment,Bad,33900.6,0.0,0,1392.56,Retired,0
Female,34.4,75980.18,Working,7.1,Higher education,Separated,IT staff,3,House / apartment,Good,123964.31,0.0,1,6331.68,Employed,1
Male,72.8,22454.66,Working,0.0,Secondary / secondary special,Married,Medicine staff,0,House / apartment,Good,5738.14,0.0,1,1871.22,Retired,1
Male,40.2,103954.64,Working,13.8,Secondary / secondary special,Married,Core staff,0,House / apartment,Good,95764.59,0.0,0,8662.89,Employed,1
Male,40.0,41561.93,State servant,1.6,Secondary / secondary special,Married,IT staff,0,House / apartment,Good,102839.14,0.0,2,3463.49,Employed,1
Female,37.4,44097.86,Working,9.8,Higher education,Married,Realty agents,2,House / apartment,Good,25207.43,27570.02,2,3674.82,Employed,1
Male,48.9,35815.39,Pensioner,0.0,Secondary / secondary special,Married,Drivers,1,House / apartment,Good,54014.98,62216.23,0,2984.62,Retired,0
Female,26.8,42445.69,Working,1.6,Secondary / secondary special,Civil marriage,Security staff,1,House / apartment,Good,90114.63,57315.57,0,3537.14,Employed,1
Male,49.6,99634.69,Commercial associate,18.1,Higher education,Married,Security staff,2,House / apartment,Good,150223.26,0.0,0,8302.89,Employed,1
Female,48.9,15000.0,Commercial associate,19.7,Higher education,Married,Core staff,0,House / apartment,Bad,14901.73,0.0,0,1250.0,Employed,0
Female,61.4,92826.06,Working,22.3,Higher education,Married,Core staff,0,House / apartment,Good,27156.13,27885.95,2,7735.5,Employed,1
Female,65.5,58047.2,Working,0.0,Secondary / secondary special,Married,Sales staff,0,House / apartment,Good,56189.44,56273.22,0,4837.27,Retired,1
Male,43.1,26808.9,Commercial associate,18.5,Higher education,Married,IT staff,1,House / apartment,Good,14395.36,0.0,0,2234.07,Employed,1
Male,35.2,28633.82,Working,5.8,Lower secondary,Widow,Waiters/barmen staff,1,House / apartment,Good,68895.0,37963.85,0,2386.15,Employed,0
Male,32.8,113345.56,Working,11.3,Secondary / secondary special,Civil marriage,Waiters/barmen staff,0,House / apartment,Bad,205844.2,234459.35,2,9445.46,Employed,0
Female,29.1,30553.87,Working,4.8,Higher education,Civil marriage,Waiters/barmen staff,0,House / apartment,Good,58007.12,9604.11,0,2546.16,Employed,1
Female,21.3,27538.07,Student,1.6,Higher education,Single / not married,High skill tech staff,0,Municipal apartment,Good,31567.61,0.0,1,2294.84,Employed,1
Female,37.5,86565.56,Working,12.7,Secondary / secondary special,Married,Sales staff,1,House / apartment,Good,31502.55,33010.08,0,7213.8,Employed,1
Female,33.4,58062.57,Pensioner,0.0,Higher education,Married,Laborers,0,House / apartment,Good,42973.24,0.0,2,4838.55,Retired,1
Female,73.1,30669.91,Working,0.0,Incomplete higher,Married,HR staff,0,House / apartment,Good,22183.75,0.0,3,2555.83,Retired,1
Male,49.8,54628.58,Commercial associate,0.6,Lower secondary,Married,Managers,0,House / apartment,Good,69283.81,77063.85,1,4552.38,Employed,1
Female,37.8,29352.23,Working,12.9,Higher education,Married,Laborers,1,House / apartment,Good,35409.1,27484.66,2,2446.02,Employed,1
Male,51.1,85000.35,Pensioner,0.0,Secondary / secondary special,Married,IT staff,1,House / apartment,Good,96915.68,21924.9,2,7083.36,Retired,1
Male,25.9,83340.13,Working,4.9,Higher education,Single / not married,Realty agents,0,Rented apartment,Good,107537.6,0.0,2,6945.01,Employed,1
Female,43.3,63959.36,Commercial associate,7.8,Secondary / secondary special,Civil marriage,Medicine staff,1,House / apartment,Good,157906.4,169303.84,2,5329.95,Employed,0
Male,53.7,58737.32,Commercial associate,3.1,Secondary / secondary special,Single / not married,Core staff,0,House / apartment,Bad,47932.51,20533.97,0,4894.78,Employed,0
Male,45.9,118254.46,Working,2.5,Secondary / secondary special,Separated,Realty agents,3,House / apartment,Good,186445.43,150594.53,1,9854.54,Employed,0
Female,40.9,49013.11,Working,21.1,Higher education,Married,HR staff,0,House / apartment,Good,33074.96,0.0,5,4084.43,Employed,1
Male,74.6,27148.12,Working,0.0,Secondary / secondary special,Married,Cooking staff,1,House / apartment,Bad,33116.77,27109.64,0,2262.34,Retired,0
Female,68.2,61373.72,Working,0.0,Secondary / secondary special,Single / not married,Medicine staff,0,House / apartment,Good,35604.01,41787.74,5,5114.48,Retired,0
Male,53.5,139110.45,Pensioner,0.0,Higher education,Married,Private service staff,0,House / apartment,Good,200271.95,14356.71,1,11592.54,Retired,1
Male,50.5,29514.01,Working,22.4,Secondary / secondary special,Married,HR staff,1,House / apartment,Good,21723.14,8767.29,1,2459.5,Employed,1
Male,53.4,40915.68,Working,4.5,Secondary / secondary special,Married,Private service staff,0,House / apartment,Bad,7704.15,5706.23,1,3409.64,Employed,0
Male,29.5,60368.52,Commercial associate,4.1,Incomplete higher,Married,Cleaning staff,0,House / apartment,Good,124156.95,127079.54,2,5030.71,Employed,0
Female,40.5,47717.22,Working,13.3,Higher education,Married,Laborers,0,House / apartment,Good,19459.67,20772.54,0,3976.43,Employed,1
Male,20.2,29996.87,Working,1.9,Secondary / secondary special,Married,Sales staff,0,House / apartment,Good,29495.71,0.0,0,2499.74,Employed,1
Female,45.1,85899.13,Working,1.2,Secondary / secondary special,Married,Private service staff,0,House / apartment,Good,106963.85,79831.57,2,7158.26,Employed,1
Male,49.0,156376.27,State servant,7.3,Higher education,Single / not married,Security staff,0,House / apartment,Bad,177948.69,79347.06,4,13031.36,Employed,0
Female,31.0,54071.67,Pensioner,0.0,Secondary / secondary special,Married,Drivers,1,House / apartment,Good,99578.28,0.0,1,4505.97,Retired,1
Female,72.9,31193.53,Pensioner,0.0,Secondary / secondary special,Married,Laborers,1,House / apartment,Good,47796.71,31197.65,0,2599.46,Retired,1
Female,69.8,22595.81,Working,0.0,Incomplete higher,Married,Cooking staff,0,House / apartment,Good,18277.54,15980.43,0,1882.98,Retired,1
Male,59.2,55769.81,Commercial associate,35.6,Higher education,Married,IT staff,1,With parents,Good,12497.3,11737.71,3,4647.48,Employed,1
Male,48.4,85130.33,Working,0.3,Secondary / secondary special,Single / not married,Managers,2,House / apartment,Bad,165342.54,0.0,0,7094.19,Employed,0
